market,strategy,regime,sizing,sl,tp,trail,cagr,sharpe,sortino,calmar,max_drawdown,total_return,trades,exposure,benchmark_return
india,golden_cross_50_200,bull,equal_slot,none,none,0.25,15.858359904890529,1.0208293095841166,1.4599682953528619,0.8053537668381421,-19.691172448539255,54.61275838334976,42.0,80.7764390896921,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,none,0.25,none,7.106256847853998,0.6312580424877042,0.8728210210773314,0.3331025557044072,-21.33354045521055,22.53535036096128,68.0,77.99196787148594,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,none,0.25,0.15,11.323464334668532,1.0837661641200593,1.5418842214030517,0.9165260249426059,-12.354765742061304,37.37618753457952,112.0,70.7764390896921,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,none,0.25,0.25,5.4467729583983715,0.5123537883499993,0.7073771688947343,0.24920768522450978,-21.85636030241766,16.99999965084713,71.0,78.68808567603749,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.08,none,none,9.028610207529542,0.5842688114207901,0.7985421613413439,0.4004118012777559,-22.548311959633317,29.161097617289844,56.0,77.08165997322624,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.08,none,0.15,5.56227092680841,0.5085477551888692,0.7120958843336435,0.3127828529566651,-17.783170893895015,17.379779016951,109.0,69.95983935742971,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.08,none,0.25,10.092836403192585,0.68196282535123,0.9148581465244635,0.4915531495598479,-20.53254345380561,32.92910391827375,60.0,75.78313253012048,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.08,0.25,none,8.831828461646896,0.847734240417082,1.2003188901031534,0.678015660138627,-13.025994797584971,28.472214055872193,122.0,69.31726907630522,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.08,0.25,0.15,9.928360255815228,0.9535877949062952,1.3687197383593714,0.8599388186410961,-11.545426303122763,32.34206605484129,138.0,68.09906291834002,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.08,0.25,0.25,8.831828461646896,0.847734240417082,1.2003188901031534,0.678015660138627,-13.025994797584971,28.472214055872193,122.0,69.31726907630522,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.15,none,none,9.98794239952736,0.6307308387316167,0.8888072083527769,0.3651709307595125,-27.351416989171668,32.55452414421738,45.0,81.45917001338688,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.15,none,0.15,6.718643021872328,0.5943053949469206,0.8265183033616912,0.46169011100094604,-14.552278382801578,21.22724525287083,90.0,72.71753681392235,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.15,none,0.25,11.979847371102315,0.8058004842568818,1.1433245031545796,0.5109557322402711,-23.445959434835984,39.78791227040757,47.0,78.38018741633199,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.15,0.25,none,5.672906010702028,0.5433684237853152,0.7468595991568899,0.29566615000599783,-19.186863327394594,17.74433293765021,84.0,76.2115127175368,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.15,0.25,0.15,11.006154442137483,1.0455949531396074,1.4764330304908495,0.8810625449068574,-12.49191048440382,36.2202543511567,112.0,70.7764390896921,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.15,0.25,0.25,2.8844829295380903,0.3084780784066268,0.4208237344651821,0.11319475617339457,-25.482478403147642,8.782632214349185,87.0,75.93038821954485,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.25,none,none,6.748830180318488,0.4572738612133126,0.6410716899955252,0.22445824582519183,-30.067196486844505,21.328786119877098,40.0,81.285140562249,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.25,none,0.15,6.985163410816653,0.6193238283407643,0.865930161561467,0.4831198018865159,-14.45844981625791,22.125689863636076,90.0,72.71753681392235,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.25,none,0.25,15.736125446414961,1.0120727307445168,1.4458549625943444,0.7983325477446744,-19.711241250115915,54.1303657057177,42.0,80.7764390896921,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.25,0.25,none,7.607650475335803,0.6689991719686091,0.9274630244291062,0.34416971694287346,-22.104357532997447,24.241255112846982,71.0,77.8045515394913,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.25,0.25,0.15,11.323464334668532,1.0837661641200593,1.5418842214030517,0.9165260249426059,-12.354765742061304,37.37618753457952,112.0,70.7764390896921,25.83157315193818
india,golden_cross_50_200,bull,equal_slot,0.25,0.25,0.25,5.363616597329002,0.5047452037257343,0.6962842551641936,0.24436946968237816,-21.948799922921715,16.72707008043659,71.0,78.68808567603749,25.83157315193818
india,golden_cross_50_200,bull,atr_risk,none,0.25,0.15,11.338849061355361,1.0864238639114592,1.5463523891210142,0.9196728295458177,-12.32922045435992,37.43239728349381,112.0,70.7764390896921,25.83157315193818
india,golden_cross_50_200,"bull,pullback",equal_slot,none,none,none,13.359951349851041,0.7823219025208233,1.098662754884933,0.5213503325232839,-25.625669566930554,44.94987838431581,41.0,89.06291834002677,25.83157315193818
