Total Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Winning Trades,Losing Trades,market,strategy,years,top,hold,status
+22.82%,+10.94%,+17.53%,+0.680,+0.976,+0.539,+82.90%,-20.29%,+38.14%,-2.04%,+0.656,+48.39%,548,211,-1.27%,+0.44%,+133.35%,-37.97%,+1.150,209,339,us,macd_signal_cross,2,15,60,ok
+7.07%,+7.12%,+19.80%,+0.447,+0.661,+0.412,+67.17%,-17.30%,+35.99%,-9.79%,+0.885,+22.91%,289,147,-1.94%,+0.02%,+133.35%,-37.97%,+1.005,104,185,us,macd_signal_cross,1,15,60,ok
+81.63%,+12.76%,+18.25%,+0.750,+1.097,+0.480,+95.28%,-26.57%,+61.85%,+1.72%,+0.858,+85.82%,"1,135",324,+2.17%,+1.09%,+43.05%,-45.62%,+1.391,702,432,us,stochastic_cross,5,15,20,ok
+68.94%,+19.29%,+15.44%,+1.220,+1.794,+1.048,+98.23%,-18.41%,+62.66%,+3.34%,+0.748,+79.06%,699,241,+2.40%,+1.48%,+30.60%,-36.26%,+1.592,438,261,us,stochastic_cross,3,15,20,ok
+51.86%,+23.49%,+17.89%,+1.269,+1.876,+1.158,+96.30%,-20.29%,+61.03%,+5.65%,+0.807,+48.39%,467,191,+2.17%,+1.67%,+46.04%,-36.26%,+1.643,285,182,us,stochastic_cross,2,15,20,ok
+43.12%,+43.53%,+15.92%,+2.351,+3.749,+4.389,+99.04%,-9.92%,+65.56%,+23.76%,+0.744,+22.91%,241,134,+2.85%,+2.68%,+30.60%,-19.06%,+2.360,158,83,us,stochastic_cross,1,15,20,ok
+67.05%,+10.88%,+16.46%,+0.709,+1.104,+0.498,+94.68%,-21.87%,+63.02%,+2.27%,+0.676,+85.82%,"4,367",489,+0.82%,+0.24%,+25.36%,-43.12%,+1.173,"2,752","1,609",us,connors_rsi2,5,20,20,ok
+39.25%,+11.78%,+16.85%,+0.744,+1.210,+0.733,+91.19%,-16.08%,+62.96%,-1.99%,+0.700,+79.06%,"2,716",472,+0.73%,+0.18%,+25.36%,-43.12%,+1.131,"1,710","1,003",us,connors_rsi2,3,20,20,ok
+25.65%,+12.22%,+20.86%,+0.655,+1.088,+0.685,+83.47%,-17.84%,+61.78%,-2.70%,+0.769,+48.39%,"1,813",446,+0.72%,+0.12%,+23.85%,-32.50%,+1.078,"1,120",693,us,connors_rsi2,2,20,20,ok
+24.86%,+25.08%,+22.01%,+1.124,+2.024,+1.581,+89.35%,-15.86%,+62.03%,+9.39%,+0.729,+22.91%,985,375,+0.84%,+0.20%,+21.41%,-27.31%,+1.130,611,374,us,connors_rsi2,1,20,20,ok
+53.87%,+9.06%,+12.59%,+0.752,+1.155,+0.666,+95.57%,-13.61%,+62.99%,+2.98%,+0.468,+85.82%,"3,561",495,+0.78%,+0.24%,+37.45%,-35.62%,+1.200,"2,243","1,313",us,connors_rsi2_bull,5,20,20,ok
+50.53%,+14.75%,+12.52%,+1.161,+1.920,+1.586,+98.25%,-9.30%,+63.85%,+3.88%,+0.516,+79.06%,"2,335",486,+0.76%,+0.35%,+37.45%,-27.31%,+1.295,"1,491",844,us,connors_rsi2_bull,3,20,20,ok
+32.88%,+15.44%,+15.31%,+1.013,+1.711,+1.447,+93.45%,-10.67%,+62.70%,+3.83%,+0.552,+48.39%,"1,539",462,+0.80%,+0.30%,+37.45%,-27.31%,+1.227,965,574,us,connors_rsi2_bull,2,20,20,ok
+22.25%,+22.44%,+17.00%,+1.275,+2.323,+1.916,+91.70%,-11.71%,+61.24%,+8.44%,+0.627,+22.91%,872,384,+0.88%,+0.28%,+21.41%,-27.31%,+1.200,534,338,us,connors_rsi2_bull,1,20,20,ok
+52.08%,+8.81%,+17.26%,+0.575,+0.836,+0.437,+90.07%,-20.14%,+64.10%,-1.35%,+0.809,+85.82%,"1,794",425,+1.93%,+0.58%,+36.53%,-36.06%,+1.237,"1,150",640,us,bollinger_mean_reversion,5,20,20,ok
+30.72%,+9.43%,+15.97%,+0.644,+0.921,+0.513,+86.69%,-18.38%,+63.33%,-5.94%,+0.790,+79.06%,"1,080",363,+1.82%,+0.58%,+26.29%,-36.06%,+1.233,684,396,us,bollinger_mean_reversion,3,20,20,ok
+23.43%,+11.22%,+17.67%,+0.690,+0.978,+0.573,+83.44%,-19.57%,+63.31%,-4.91%,+0.808,+48.39%,725,312,+1.72%,+0.65%,+26.29%,-35.35%,+1.257,459,266,us,bollinger_mean_reversion,2,20,20,ok
+25.42%,+25.65%,+14.75%,+1.622,+2.549,+3.021,+94.91%,-8.49%,+65.22%,+9.10%,+0.703,+22.91%,391,226,+1.89%,+1.30%,+46.45%,-25.33%,+1.592,255,136,us,bollinger_mean_reversion,1,20,20,ok
+79.38%,+12.48%,+19.04%,+0.713,+1.040,+0.507,+94.41%,-24.61%,+63.49%,+0.80%,+0.916,+85.82%,"1,742",317,+2.17%,+0.84%,+36.29%,-39.36%,+1.309,"1,106",631,us,williams_percent_r,5,20,20,ok
+76.60%,+21.09%,+15.20%,+1.336,+2.018,+1.435,+98.99%,-14.70%,+65.97%,+4.72%,+0.754,+79.06%,"1,055",243,+2.36%,+1.26%,+33.43%,-39.36%,+1.547,696,359,us,williams_percent_r,3,20,20,ok
+58.96%,+26.37%,+18.29%,+1.371,+2.088,+1.491,+97.47%,-17.68%,+66.48%,+7.63%,+0.831,+48.39%,707,200,+2.67%,+1.39%,+33.43%,-39.36%,+1.569,470,237,us,williams_percent_r,2,20,20,ok
+43.12%,+43.53%,+18.83%,+2.013,+3.371,+4.339,+98.25%,-10.03%,+69.25%,+19.35%,+0.935,+22.91%,361,129,+2.45%,+1.84%,+33.43%,-39.36%,+1.825,250,111,us,williams_percent_r,1,20,20,ok
+90.37%,+13.84%,+18.72%,+0.786,+1.169,+0.563,+96.08%,-24.56%,+56.70%,+2.08%,+0.907,+85.82%,"1,365",310,+1.44%,+1.22%,+57.93%,-42.88%,+1.394,774,587,us,cci_reversion,5,20,20,ok
+71.43%,+19.88%,+15.66%,+1.236,+1.914,+1.214,+98.54%,-16.37%,+58.95%,+3.34%,+0.773,+79.06%,816,249,+1.68%,+1.51%,+44.60%,-40.06%,+1.529,481,334,us,cci_reversion,3,20,20,ok
+51.31%,+23.26%,+19.64%,+1.163,+1.820,+1.235,+95.32%,-18.84%,+58.65%,+4.29%,+0.874,+48.39%,549,206,+1.75%,+1.48%,+40.11%,-35.35%,+1.490,322,227,us,cci_reversion,2,20,20,ok
+34.75%,+35.07%,+19.17%,+1.664,+2.830,+3.076,+96.15%,-11.40%,+60.29%,+12.59%,+0.926,+22.91%,277,148,+1.75%,+1.79%,+31.18%,-36.84%,+1.708,167,110,us,cci_reversion,1,20,20,ok
+60.28%,+9.96%,+27.00%,+0.486,+0.728,+0.268,+86.25%,-37.18%,+49.00%,-3.30%,+1.181,+85.82%,"1,200",363,+0.00%,+0.96%,+103.19%,-47.97%,+1.240,588,570,us,short_term_reversal,5,20,20,ok
+75.46%,+20.82%,+21.55%,+0.985,+1.533,+1.012,+95.99%,-20.57%,+54.17%,-0.14%,+1.028,+79.06%,720,297,+1.17%,+2.10%,+91.27%,-51.13%,+1.554,390,327,us,short_term_reversal,3,20,20,ok
+52.33%,+23.68%,+24.06%,+1.002,+1.590,+1.136,+92.81%,-20.85%,+55.62%,+1.61%,+1.056,+48.39%,480,250,+1.23%,+2.18%,+81.17%,-33.18%,+1.600,267,213,us,short_term_reversal,2,20,20,ok
+34.59%,+34.91%,+20.49%,+1.564,+2.539,+2.347,+94.37%,-14.88%,+55.00%,+12.72%,+0.928,+22.91%,240,159,+1.05%,+2.88%,+81.14%,-32.26%,+1.793,132,108,us,short_term_reversal,1,20,20,ok
+17.01%,+3.21%,+12.28%,+0.319,+0.451,+0.155,+76.09%,-20.68%,+51.25%,+0.07%,+0.276,+85.82%,"1,200",101,+0.20%,+0.29%,+54.59%,-24.62%,+1.131,615,582,us,turn_of_month,5,20,20,ok
+10.96%,+3.56%,+13.44%,+0.328,+0.451,+0.170,+71.27%,-20.92%,+48.75%,-2.80%,+0.349,+79.06%,720,76,+0.00%,+0.32%,+54.59%,-22.94%,+1.133,351,353,us,turn_of_month,3,20,20,ok
+10.40%,+5.12%,+15.07%,+0.407,+0.559,+0.308,+71.49%,-16.64%,+47.50%,-1.20%,+0.345,+48.39%,480,57,+0.00%,+0.43%,+54.59%,-22.94%,+1.188,228,232,us,turn_of_month,2,20,20,ok
+21.01%,+21.20%,+15.54%,+1.315,+2.123,+2.225,+91.23%,-9.53%,+56.67%,+12.60%,+0.396,+22.91%,240,44,+1.17%,+1.76%,+54.59%,-22.94%,+1.738,136,103,us,turn_of_month,1,20,20,ok
