market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission,hold,variant,sharpe_num,sharpe
india,momentum_quality_pe,3,"100,000.00","151,143.49",+51.14%,+15.50%,+15.10%,+8.56%,1.687,2.533,1.5,+99.74%,+99.74%,-10.07%,+60.61%,+12.55%,0.299,+37.85%,+25.92%,33,24,+11.39%,+15.50%,+120.13%,-33.04%,3.861,+15.50%,20,13,27,+62.96%,+13.35%,6.0,+50.00%,+25.18%,,,,787.06,711.15,49.44,21.12,0.71,3.93,0.71,+0.79%,+1.54%,,63,regime_hold84,1.687,1.687
india,momentum_quality_pe,3,"100,000.00","137,388.26",+37.39%,+7.19%,+11.42%,+8.02%,1.39,2.058,1.183,+98.97%,+98.97%,-9.66%,+61.54%,+9.26%,0.262,+30.18%,+25.92%,52,24,+3.85%,+7.19%,+53.78%,-22.72%,2.848,+7.19%,32,20,46,+60.87%,+6.37%,6.0,+66.67%,+13.46%,,,,"1,195.36","1,077.35",77.91,32.0,1.08,5.95,1.08,+1.20%,+3.20%,,63,regime_hold42,1.39,1.39
india,momentum_quality_pe55,3,"100,000.00","150,047.94",+50.05%,+13.53%,+14.82%,+7.25%,1.944,3.049,2.981,+99.94%,+99.94%,-4.97%,+64.86%,+12.69%,0.245,+31.96%,+25.92%,37,26,+8.52%,+13.53%,+96.95%,-26.15%,4.553,+13.53%,24,13,30,+60.00%,+11.80%,7.0,+85.71%,+20.93%,,,,874.89,790.05,55.43,23.46,0.79,4.37,0.79,+0.87%,+1.75%,,63,regime,1.944,1.944
india,momentum_quality_pe60,3,"100,000.00","142,326.60",+42.33%,+13.02%,+12.77%,+6.29%,1.941,3.026,2.937,+99.93%,+99.93%,-4.35%,+64.10%,+10.93%,0.212,+28.07%,+25.92%,39,26,+8.14%,+13.02%,+96.95%,-26.15%,4.606,+13.02%,25,14,32,+59.38%,+11.29%,7.0,+85.71%,+20.93%,,,,766.79,692.32,48.69,20.56,0.69,3.83,0.69,+0.77%,+1.81%,,63,regime_top12,1.941,1.941
india,momentum_quality_pe60,3,"100,000.00","151,084.87",+51.08%,+13.10%,+15.09%,+9.07%,1.595,2.346,1.506,+99.60%,+99.60%,-10.02%,+58.97%,+12.29%,0.329,+44.74%,+25.92%,39,26,+5.33%,+13.10%,+120.13%,-33.04%,3.627,+13.10%,23,16,32,+59.38%,+11.06%,7.0,+57.14%,+22.40%,,,,920.45,831.08,58.43,24.68,0.83,4.59,0.83,+0.92%,+1.80%,,63,regime_hold84,1.595,1.595
india,momentum_quality_pe60,3,"100,000.00","136,200.38",+36.20%,+5.93%,+11.09%,+8.16%,1.331,1.954,1.085,+98.70%,+98.70%,-10.23%,+49.18%,+8.84%,0.273,+34.29%,+25.92%,61,26,-0.02%,+5.93%,+96.95%,-16.50%,2.328,+5.93%,30,31,51,+47.06%,+5.17%,10.0,+60.00%,+9.86%,,,,"1,394.30","1,256.15",91.39,37.31,1.26,6.94,1.26,+1.39%,+3.85%,,63,regime_trail15,1.331,1.331
india,momentum_quality_pe60,1,"100,000.00","106,051.80",+6.05%,+2.89%,+6.15%,+12.47%,0.542,0.693,0.544,+69.44%,+69.44%,-11.31%,+71.43%,+6.69%,0.353,+48.11%,-0.06%,21,16,+5.16%,+2.90%,+29.08%,-58.96%,1.527,+2.90%,15,6,7,+42.86%,-0.39%,,,,14.0,+85.71%,+4.54%,472.74,425.48,31.42,12.64,0.43,2.35,0.43,+0.47%,+7.81%,,63,base,,0.542
india,momentum_quality_pe60,1,"100,000.00","99,724.26",-0.28%,-0.39%,-0.28%,+5.14%,-0.029,-0.038,-0.046,+48.86%,+48.86%,-6.07%,+42.86%,-0.18%,0.039,+17.99%,-0.06%,7,7,-0.02%,-0.39%,+29.08%,-26.15%,0.949,-0.39%,3,4,7,+42.86%,-0.39%,,,,,,,155.40,139.71,10.49,4.15,0.14,0.77,0.14,+0.16%,-56.36%,,63,regime,,-0.029
india,momentum_quality_pe60,2,"100,000.00","120,775.62",+20.78%,+5.33%,+10.02%,+11.66%,0.878,1.211,1.0,+88.18%,+88.18%,-10.02%,+69.23%,+10.26%,0.418,+47.09%,+0.51%,39,26,+5.12%,+5.33%,+62.29%,-58.96%,2.249,+5.33%,27,12,18,+50.00%,-0.51%,,,,21.0,+85.71%,+10.33%,888.98,800.74,58.43,23.78,0.8,4.42,0.8,+0.89%,+4.28%,,63,base,,0.878
india,momentum_quality_pe60,2,"100,000.00","113,729.26",+13.73%,+5.49%,+6.73%,+8.50%,0.808,1.194,0.952,+87.24%,+87.24%,-7.06%,+60.00%,+6.87%,0.2,+32.06%,+0.51%,25,17,+0.35%,+5.49%,+83.74%,-26.15%,2.302,+5.49%,15,10,18,+50.00%,-0.51%,7.0,+85.71%,+20.93%,,,,570.29,513.71,37.46,15.26,0.51,2.84,0.51,+0.57%,+4.15%,,63,regime,,0.808
