market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission
us,nifty_momentum_trend,1,"100,000.00","150,140.92",+50.14%,+25.07%,+50.38%,+44.78%,+1.136,+1.651,+1.634,+87.04%,+87.04%,-30.83%,+85.00%,+5.99%,+2.124,+99.60%,+22.50%,20,20,+22.75%,+25.07%,+100.34%,-32.30%,+8.865,+25.07%,17,3,20,+85.00%,+25.07%,,,,,,,45.01,,,,,,,+0.05%,+0.09%,45.01
us,nifty_momentum_trend,2,"100,000.00","267,098.61",+167.10%,+41.77%,+64.08%,+28.85%,+1.862,+2.711,+2.649,+99.48%,+99.48%,-24.19%,+80.00%,+35.63%,+1.101,+99.78%,+47.89%,40,36,+28.24%,+41.77%,+439.86%,-34.93%,+17.662,+41.77%,32,8,40,+80.00%,+41.77%,,,,,,,96.71,,,,,,,+0.10%,+0.06%,96.71
us,nifty_momentum_trend,3,"100,000.00","273,797.81",+173.80%,+28.97%,+40.27%,+23.45%,+1.562,+2.289,+1.783,+99.61%,+99.61%,-22.58%,+76.67%,+17.81%,+0.979,+99.85%,+78.46%,60,51,+21.48%,+28.97%,+228.94%,-33.54%,+10.433,+28.97%,46,14,60,+76.67%,+28.97%,,,,,,,137.38,,,,,,,+0.14%,+0.08%,137.38
us,nifty_momentum_trend,5,"100,000.00","342,792.62",+242.79%,+24.31%,+28.12%,+21.84%,+1.244,+1.831,+1.401,+99.72%,+99.72%,-20.08%,+70.00%,+17.70%,+0.783,+99.91%,+85.20%,100,90,+10.98%,+24.29%,+431.78%,-34.71%,+7.919,+24.29%,70,30,80,+72.50%,+29.16%,10,+100.00%,+14.03%,10,+20.00%,-4.40%,224.06,,,,,,,+0.22%,+0.09%,224.06
us,rs_trend,1,"100,000.00","210,000.25",+110.00%,+27.50%,+110.62%,+34.44%,+2.338,+3.552,+5.570,+98.90%,+98.90%,-19.86%,+65.00%,+54.98%,+1.730,+99.56%,+22.50%,40,23,+20.35%,+27.50%,+131.24%,-46.99%,+5.664,+27.50%,26,14,40,+65.00%,+27.50%,,,,,,,91.00,,,,,,,+0.09%,+0.08%,91.00
us,rs_trend,2,"100,000.00","345,632.52",+245.63%,+30.70%,+86.84%,+23.24%,+2.809,+4.481,+4.279,+100.00%,+100.00%,-20.29%,+67.50%,+57.87%,+0.927,+99.78%,+47.89%,80,44,+14.10%,+30.70%,+274.75%,-35.70%,+7.640,+30.70%,54,26,70,+67.14%,+33.56%,10,+70.00%,+10.71%,,,,184.57,,,,,,,+0.18%,+0.08%,184.57
us,rs_trend,3,"100,000.00","379,988.67",+279.99%,+23.33%,+56.60%,+24.51%,+1.954,+2.966,+2.454,+99.96%,+99.96%,-23.07%,+64.17%,+28.48%,+1.105,+99.85%,+78.46%,120,57,+10.58%,+23.33%,+276.99%,-32.35%,+5.805,+23.33%,77,43,110,+62.73%,+24.00%,10,+80.00%,+16.02%,,,,268.00,,,,,,,+0.27%,+0.10%,268.00
us,rs_trend,5,"100,000.00","376,518.01",+276.52%,+13.91%,+30.56%,+25.20%,+1.185,+1.710,+1.176,+99.54%,+99.54%,-25.99%,+59.50%,+18.51%,+0.928,+99.91%,+85.20%,200,105,+6.70%,+13.95%,+209.90%,-44.98%,+3.103,+13.95%,119,81,150,+60.00%,+15.32%,20,+75.00%,+21.43%,30,+46.67%,+2.15%,425.14,,,,,,,+0.43%,+0.15%,425.14
us,vwap_trend,1,"100,000.00","147,421.73",+47.42%,+11.29%,+47.65%,+30.78%,+1.421,+2.127,+2.666,+92.12%,+92.12%,-17.87%,+57.14%,+3.52%,+1.899,+99.56%,+22.50%,42,17,+3.78%,+11.29%,+130.28%,-32.24%,+2.891,+11.29%,24,18,41,+56.10%,+11.07%,1,+100.00%,+20.38%,,,,88.74,,,,,,,+0.09%,+0.19%,88.74
us,vwap_trend,2,"100,000.00","196,282.45",+96.28%,+11.74%,+40.48%,+24.70%,+1.500,+2.221,+1.552,+98.25%,+98.25%,-26.08%,+59.76%,+12.23%,+1.209,+99.78%,+47.89%,82,23,+2.82%,+11.74%,+146.47%,-37.50%,+3.658,+11.74%,49,33,71,+56.34%,+10.84%,11,+81.82%,+17.55%,,,,173.63,,,,,,,+0.17%,+0.18%,173.63
us,vwap_trend,3,"100,000.00","214,454.65",+114.45%,+8.02%,+29.22%,+22.31%,+1.261,+1.883,+1.402,+98.55%,+98.55%,-20.85%,+60.31%,+5.21%,+1.116,+99.85%,+78.46%,131,32,+4.08%,+8.06%,+164.23%,-40.52%,+2.648,+8.06%,79,52,117,+59.83%,+8.04%,10,+80.00%,+11.96%,4,+25.00%,-0.96%,271.08,,,,,,,+0.27%,+0.26%,271.08
us,vwap_trend,5,"100,000.00","215,274.87",+115.27%,+5.92%,+16.67%,+23.94%,+0.764,+1.086,+0.427,+95.52%,+95.52%,-39.02%,+53.14%,+2.92%,+1.111,+99.91%,+85.20%,207,51,+1.36%,+5.83%,+167.06%,-44.34%,+1.978,+5.83%,110,93,156,+52.56%,+5.03%,18,+83.33%,+23.73%,33,+39.39%,-0.18%,400.82,,,,,,,+0.40%,+0.35%,400.82
